--------------------------------------------------------------------------
Waarnemingen van de laatste 60 dagen te Ukkel.
--------------------------------------------------------------------------
      Datum Temp_max Temp_min Temp_gem Neerslag Wind Zonneschijn
                  °C       °C       °C       mm  m/s       hh:mm
 30-11-2023      2.9     -0.3      1.4        0  1.8        0:00
 29-11-2023      6.5      1.4      3.2      0.8  2.8        4:28
 28-11-2023        4     -0.1      1.9     0.12  3.4        4:08
 27-11-2023      7.5      2.5      4.9     14.8  5.2        0:00
 26-11-2023      5.9      3.8      4.9      0.8  2.7        0:00
 25-11-2023      6.4        3      4.6      3.2    3        0:46
 24-11-2023     10.8      4.2      6.3        6  4.3        0:42
 23-11-2023     11.8      7.1      9.7     0.12  3.6        0:09
 22-11-2023        7      3.6      5.5        0  2.3        2:13
 21-11-2023     10.3      5.5      8.7      2.1  2.6        0:00
 20-11-2023     10.9      8.1      9.4     12.3  3.8        0:17
 19-11-2023     13.3     10.6     11.8      0.6  6.1        2:39
 18-11-2023     13.2        5      8.9     10.6  5.3        0:00
 17-11-2023      9.1      4.1      6.9      2.4  2.2        0:41
 16-11-2023      7.6      5.7      6.9      1.7  2.3        0:00
 15-11-2023       13      6.6      9.7        0  3.6        2:43
 14-11-2023     11.8      9.3     10.6     13.1  6.1        0:00
 13-11-2023     14.8      7.8     11.7       10  5.6        0:01
 12-11-2023      8.7      3.3      6.6      0.7  2.5        1:01
 11-11-2023      9.4      3.9      5.9        8  2.5        0:48
 10-11-2023      8.9      6.3      7.3      7.7    5        0:00
 09-11-2023     11.4      6.8        9        7  4.9        2:01
 08-11-2023     10.6      6.9      8.9     12.4  6.5        1:34
 07-11-2023       11      7.4      8.7        0  4.7        0:48
 06-11-2023     11.9      7.9      9.4      3.8  5.1        3:13
 05-11-2023     12.2      9.3     10.3      1.8  5.4        0:46
 04-11-2023     11.7      7.2      9.4      4.8  6.4        0:25
 03-11-2023     11.6      7.3      8.8      0.3  6.4        4:37
 02-11-2023     13.5      7.9     11.1      1.2 10.6        0:19
 01-11-2023     15.1      9.5     11.9      5.8  6.2        2:55
 31-10-2023       12      9.4     10.6      1.5  3.7        0:02
 30-10-2023     12.2      9.6     11.2     12.1  3.6        0:00
 29-10-2023     14.6     11.5     13.3      1.2  6.7        1:52
 28-10-2023     14.8     10.1     12.2      1.7  6.2        1:21
 27-10-2023     13.9     10.1     11.2      5.7  3.6        1:35
 26-10-2023     12.7      6.3      9.6      2.7  2.6        0:46
 25-10-2023     12.2      7.7      9.9     13.2  3.1        0:00
 24-10-2023     14.9        8       11      2.8  3.7        2:07
 23-10-2023     12.2      7.2     10.1      6.2    3        0:32
 22-10-2023     15.7      8.5     12.3      0.1  3.2        1:48
 21-10-2023     14.7     11.9     13.1      2.9  6.9        1:59
 20-10-2023     15.5     12.6     14.2     11.4  3.5        0:00
 19-10-2023     18.9     14.7       16     0.19  4.5        2:21
 18-10-2023     16.7      6.7     11.9      8.8  4.2        3:14
 17-10-2023     13.1      7.1      9.1        0  3.5        6:15
 16-10-2023     12.1      3.2      7.7        0  1.7        7:50
 15-10-2023     12.1      3.9      7.5      0.9  2.4        4:53
 14-10-2023       16      6.2     10.3      4.6  3.1        3:39
 13-10-2023     22.4       16     19.6        5  6.2        0:14
 12-10-2023     17.8     14.3     16.4      6.3  3.3        0:01
 11-10-2023     22.5     15.6     18.7        0  3.8        5:38
 10-10-2023     24.7       12     17.9        0  3.4        7:32
 09-10-2023     20.2     13.4     16.3        0    2        0:52
 08-10-2023     22.7     12.5       17        0  2.1        7:49
 07-10-2023       22     13.2     17.3        0  3.6        8:07
 06-10-2023     19.8     10.8     15.1        0  3.3        7:27
 05-10-2023     17.8     11.1     13.7        0  2.4        4:46
 04-10-2023     17.9     10.4     13.8        0  2.7        3:51
 03-10-2023     22.7       12     16.9     0.07  4.5        4:18
 02-10-2023     26.5     14.7     20.1        0  3.4        8:14
