--------------------------------------------------------------------------
Waarnemingen van de laatste 60 dagen te Ukkel.
--------------------------------------------------------------------------
      Datum Temp_max Temp_min Temp_gem Neerslag Wind Zonneschijn
                  °C       °C       °C       mm  m/s       hh:mm
 09-12-2024      5.7      4.7      5.3        1  4.9        0:00
 08-12-2024      7.3      4.8      6.5        7  4.7        0:00
 07-12-2024       10      5.7      7.7     10.7    7        1:55
 06-12-2024       10      6.1      7.8      0.5  5.1        0:04
 05-12-2024     11.3      4.7      6.7     14.4  6.7        0:00
 04-12-2024        6      0.7      3.8     0.06  2.5        0:00
 03-12-2024      7.6        2      5.4      1.3  2.4        0:02
 02-12-2024     11.7      6.8      9.8      0.8  4.4        0:22
 01-12-2024      9.6      0.9      5.7        0    4        3:44
 30-11-2024      8.1        1      4.7        0  3.2        5:41
 29-11-2024      7.6      0.4      3.6     0.06    4        5:59
 28-11-2024      8.6      1.3      5.1      0.4    2        4:22
 27-11-2024     11.3      6.6      8.6      5.2    6        0:00
 26-11-2024     10.1      6.2      7.8      4.1  3.8        2:16
 25-11-2024     15.8      8.2     11.8      8.9    6        0:00
 24-11-2024     17.5      8.9     14.5      0.8  9.1        3:31
 23-11-2024      9.8      0.9      4.9      4.8  6.5        0:00
 22-11-2024      5.3     -1.9      2.2      0.5  4.2        1:26
 21-11-2024      1.4     -2.6     -0.1      0.9  2.4        0:00
 20-11-2024      5.6      0.4      2.6     10.9  4.2        3:07
 19-11-2024     10.9      3.6      7.4     33.7  4.6        0:00
 18-11-2024      9.4        6      7.4      2.1  2.6        0:58
 17-11-2024      9.2      6.4      7.6      5.3  3.9        0:09
 16-11-2024        8      5.9      7.2     0.09  4.1        0:00
 15-11-2024      9.3      7.4      8.5        0  1.7        0:00
 14-11-2024     10.3        8        9      1.9  1.7        0:09
 13-11-2024     10.2      4.8      7.5        0    2        3:01
 12-11-2024     10.5      7.1      8.6      0.4  4.1        0:31
 11-11-2024       12      8.1      9.4      3.7  3.4        2:10
 10-11-2024     10.4      8.1      9.2     0.09  1.3        0:00
 09-11-2024      8.9        6      7.9        0  1.7        0:00
 08-11-2024        6      4.3      5.1        0  2.2        0:00
 07-11-2024      8.4      4.6      6.9        0  2.4        0:00
 06-11-2024      9.5      7.9      8.6      0.2  1.7        0:00
 05-11-2024      8.4      3.3      6.5      0.2  1.9        0:00
 04-11-2024     11.6      3.9      6.2        0  1.9        3:44
 03-11-2024     12.6      6.6      9.4        0  1.9        1:27
 02-11-2024     12.6      9.9     11.1        0  2.2        0:00
 01-11-2024     10.3      9.1      9.8        0  2.3        0:00
 31-10-2024     16.8        9     12.5        0  1.8        4:45
 30-10-2024     14.1     11.5     12.5        0  1.5        0:00
 29-10-2024     13.4     11.4     12.3      2.4  3.3        0:00
 28-10-2024     15.5      9.6     13.2        0  3.6        1:30
 27-10-2024     16.9      9.3     13.4      0.3  1.7        1:27
 26-10-2024     21.9     11.7     15.7        0  2.6        6:31
 25-10-2024     20.4     12.1       15        0    4        6:33
 24-10-2024     16.7      5.2     11.1     0.03  3.8        7:04
 23-10-2024     17.5      7.9     11.7     0.03  2.1        5:53
 22-10-2024     16.3      8.2     11.4      0.3  2.3        4:28
 21-10-2024     14.9     10.9     12.9     19.4  2.6        0:00
 20-10-2024     18.4     13.2     15.7      0.6  5.3        1:46
 19-10-2024       15     12.5     13.9      0.5  4.1        1:21
 18-10-2024     16.4     14.1     15.2      0.9  1.8        0:00
 17-10-2024       20     14.6     17.4      0.4  3.3        0:11
 16-10-2024     23.2     11.8     17.2     0.09  6.2        2:50
 15-10-2024     16.5        8       12        0  2.6        1:20
 14-10-2024      9.5        6      7.8      5.3  2.5        0:04
 13-10-2024     12.2      6.5      8.9        0  2.8        4:17
 12-10-2024     12.3      4.7      9.2      1.1    4        0:00
 11-10-2024     13.2      4.6      8.7     0.15  1.9        6:16
